age,education_level,career_field,main_sector,employer_type,contract_type,weekly_hours,residence,province,monthly_income_rwf
24,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,20.0,Rural,Northern Province,52000.0
26,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,21.0,Rural,Northern Province,26000.0
21,Primary education,Elementary and other work,Services,Household,Oral agreement,56.0,Rural,Northern Province,20000.0
19,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,18.0,Rural,Northern Province,31200.0
23,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,30.0,Rural,Northern Province,26000.0
18,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,18.0,Rural,Northern Province,52000.0
18,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,12.0,Rural,Northern Province,39000.0
25,Upper secondary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,54.0,Urban,Eastern Province,130000.0
28,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Written contract,42.0,Rural,Eastern Province,75833.336
25,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,21.0,Rural,Eastern Province,39000.0
18,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,35.0,Rural,Eastern Province,32500.0
20,Primary education,Elementary and other work,Services,Household,Oral agreement,70.0,Rural,Eastern Province,25000.0
17,Primary education,Elementary and other work,Services,Household,Oral agreement,70.0,Rural,Eastern Province,10000.0
30,Upper secondary education,Sales and services,Services,Public institution,Written contract,40.0,Rural,Eastern Province,150000.0
16,Primary education,Elementary and other work,Services,Household,Oral agreement,28.0,Rural,Eastern Province,15000.0
21,Primary education,Sales and services,Services,Private business or VUP,Oral agreement,22.0,Urban,Eastern Province,20800.0
25,Primary education,Sales and services,Industry,Private business or VUP,Oral agreement,42.0,Urban,Eastern Province,25000.0
28,Upper secondary education,"Education, health and social services",Services,Public institution,Written contract,40.0,Rural,Eastern Province,100000.0
26,Upper secondary education,Elementary and other work,Services,Household,Oral agreement,35.0,Urban,Eastern Province,7000.0
29,Upper secondary education,Sales and services,Services,Private business or VUP,Written contract,84.0,Urban,Eastern Province,20000.0
16,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,12.0,Rural,Eastern Province,18200.0
24,Upper secondary education,"Business, management and office work",Services,Public institution,Written contract,40.0,Urban,Eastern Province,100000.0
27,No formal education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Eastern Province,26000.0
25,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,24.0,Rural,Eastern Province,13000.0
