graduation_year,education_level,course_group,first_job_level,first_job_sector,qualification_requirement,first_job_via_nysc,employer_valued_factor,course_preparation_score,employability_skill_count,problem_solving_skill,communication_skill,first_monthly_income_ngn
2015,Bachelor's degree,Engineering and built environment,Entry level,"Engineering, construction and energy",Formal requirement,No,No single factor,3,5,False,True,75000.0
2016,Bachelor's degree,Business and economics,Entry level,Trade and services,Formal requirement,No,Academic credential,4,3,False,True,35000.0
2014,Bachelor's degree,Business and economics,Entry level,Other,Gave an advantage,No,Subject studied,4,1,True,False,35000.0
2013,Bachelor's degree,Engineering and built environment,Clerical and administrative,Trade and services,Gave an advantage,No,Unknown,3,4,False,True,35000.0
2014,Bachelor's degree,Other,Entry level,Other,Formal requirement,No,No single factor,2,3,False,True,35000.0
2014,Bachelor's degree,Technology and computing,Entry level,"Engineering, construction and energy",Not required,No,Academic credential,4,5,True,True,10000.0
2014,Bachelor's degree,Health and life sciences,Entry level,Trade and services,Not required,No,Unknown,2,4,False,True,35000.0
2015,Bachelor's degree,Engineering and built environment,Entry level,"Engineering, construction and energy",Formal requirement,Yes,Academic credential,2,1,True,False,35000.0
2015,Ordinary National Diploma (OND),Technology and computing,Clerical and administrative,Education,Formal requirement,No,No single factor,2,1,True,False,10000.0
2015,Bachelor's degree,Other,Entry level,Finance and consulting,Not required,No,No single factor,2,1,False,False,35000.0
2013,Master's degree,Business and economics,Entry level,Education,Formal requirement,No,No single factor,1,1,False,True,10000.0
2015,Bachelor's degree,Social sciences,Entry level,"Media, marketing and creative",Not required,Yes,Academic credential,1,1,False,False,35000.0
2014,Bachelor's degree,Engineering and built environment,Clerical and administrative,Trade and services,Formal requirement,No,Subject studied,4,6,True,True,75000.0
2015,Bachelor's degree,"Arts, communication and humanities",Entry level,Education,Formal requirement,No,Unknown,3,3,False,True,10000.0
2014,Bachelor's degree,Business and economics,Entry level,Health,Not required,No,Subject studied,3,1,False,False,10000.0
2013,Bachelor's degree,"Arts, communication and humanities",Clerical and administrative,Finance and consulting,Formal requirement,No,Unknown,4,5,True,True,35000.0
2014,Higher National Diploma (HND),Engineering and built environment,Managerial,Trade and services,Not required,No,Internship or practical experience,4,6,True,True,10000.0
2015,Bachelor's degree,Technology and computing,Experienced/professional,Technology and telecommunications,Not required,Yes,Internship or practical experience,4,4,True,True,125000.0
2013,Master's degree,Technology and computing,Experienced/professional,Education,Formal requirement,Yes,Academic credential,3,1,False,False,35000.0
2016,Higher National Diploma (HND),Business and economics,Clerical and administrative,"Engineering, construction and energy",Formal requirement,No,Internship or practical experience,4,1,True,False,75000.0
2015,Bachelor's degree,Technology and computing,Entry level,Technology and telecommunications,Formal requirement,No,Internship or practical experience,3,6,True,True,10000.0
2017,Bachelor's degree,"Arts, communication and humanities",Entry level,Trade and services,Not required,No,Internship or practical experience,3,1,False,True,35000.0
2017,Bachelor's degree,Business and economics,Entry level,Trade and services,Formal requirement,No,Subject studied,3,3,False,True,75000.0
2015,Bachelor's degree,Other,Entry level,Finance and consulting,Formal requirement,No,Unknown,4,4,True,True,125000.0
2015,Bachelor's degree,Engineering and built environment,Entry level,Trade and services,Gave an advantage,No,Internship or practical experience,4,6,True,True,35000.0
2017,Bachelor's degree,Other,Entry level,"Media, marketing and creative",Gave an advantage,No,Academic credential,3,1,False,False,75000.0
2015,Bachelor's degree,Engineering and built environment,Entry level,"Media, marketing and creative",Gave an advantage,No,Academic credential,3,5,True,True,35000.0
2014,Bachelor's degree,Technology and computing,Entry level,Education,Formal requirement,No,Subject studied,3,4,True,True,10000.0
2017,Bachelor's degree,Business and economics,Managerial,Technology and telecommunications,Gave an advantage,No,Subject studied,4,6,True,True,35000.0
2016,Bachelor's degree,Social sciences,Entry level,Other,Formal requirement,No,Unknown,2,1,False,False,35000.0
2017,Bachelor's degree,Engineering and built environment,Entry level,"Engineering, construction and energy",Not required,No,Academic credential,2,4,True,True,10000.0
2017,Bachelor's degree,Engineering and built environment,Entry level,Technology and telecommunications,Not required,Yes,No single factor,3,6,True,True,35000.0
2017,Bachelor's degree,"Arts, communication and humanities",Clerical and administrative,Trade and services,Not required,No,Internship or practical experience,3,3,False,True,10000.0
2016,Bachelor's degree,"Arts, communication and humanities",Entry level,Finance and consulting,Formal requirement,No,Academic credential,3,1,False,True,35000.0
2015,Bachelor's degree,Business and economics,Clerical and administrative,Education,Formal requirement,No,Academic credential,4,6,True,True,75000.0
2014,Bachelor's degree,Engineering and built environment,Entry level,Other,Formal requirement,No,Internship or practical experience,1,1,True,False,125000.0
2014,Bachelor's degree,Education,Entry level,Technology and telecommunications,Not required,No,Internship or practical experience,3,1,True,False,35000.0
2017,Bachelor's degree,Engineering and built environment,Entry level,"Engineering, construction and energy",Gave an advantage,No,Subject studied,4,4,False,True,75000.0
2014,Bachelor's degree,Social sciences,Entry level,Technology and telecommunications,Not required,No,Academic credential,1,0,False,False,75000.0
2016,Bachelor's degree,Engineering and built environment,Experienced/professional,Finance and consulting,Gave an advantage,No,Other,3,1,False,False,125000.0
2017,Bachelor's degree,"Arts, communication and humanities",Clerical and administrative,Education,Not required,No,Academic credential,3,4,False,True,35000.0
2015,Bachelor's degree,Other,Entry level,Health,Not required,Yes,Internship or practical experience,2,5,True,True,10000.0
2015,Bachelor's degree,Health and life sciences,Entry level,Other,Gave an advantage,No,Internship or practical experience,3,6,True,True,35000.0
2017,Bachelor's degree,Business and economics,Entry level,Other,Formal requirement,No,Academic credential,3,4,False,True,75000.0
2014,Master's degree,Business and economics,Entry level,Finance and consulting,Not required,No,Skills and prior experience,2,1,False,False,35000.0
2017,Bachelor's degree,Health and life sciences,Experienced/professional,Technology and telecommunications,Gave an advantage,No,Other,3,4,True,True,35000.0
2015,Bachelor's degree,Other,Entry level,Technology and telecommunications,Not required,No,Academic credential,3,2,True,False,35000.0
2015,Bachelor's degree,Health and life sciences,Entry level,Education,Not required,No,Other,1,6,True,True,10000.0
2014,Bachelor's degree,Engineering and built environment,Entry level,Education,Not required,No,Academic credential,3,6,True,True,10000.0
2016,Bachelor's degree,Technology and computing,Entry level,Education,Formal requirement,No,Academic credential,3,6,True,True,35000.0
2016,Bachelor's degree,Other,Entry level,Trade and services,Formal requirement,No,Skills and prior experience,2,5,True,True,35000.0
2017,Bachelor's degree,Business and economics,Entry level,Finance and consulting,Not required,No,Other,3,4,True,True,35000.0
2014,Bachelor's degree,Business and economics,Entry level,Trade and services,Formal requirement,No,Subject studied,2,1,False,False,35000.0
2015,Bachelor's degree,Engineering and built environment,Entry level,"Engineering, construction and energy",Not required,No,Subject studied,4,4,True,True,75000.0
2017,Bachelor's degree,Engineering and built environment,Entry level,Technology and telecommunications,Formal requirement,No,Academic credential,3,6,True,True,35000.0
2014,Bachelor's degree,"Arts, communication and humanities",Entry level,Technology and telecommunications,Gave an advantage,No,Unknown,3,3,False,True,35000.0
2014,Bachelor's degree,Technology and computing,Managerial,Education,Formal requirement,No,Academic credential,4,6,True,True,35000.0
2016,Bachelor's degree,Education,Clerical and administrative,Technology and telecommunications,Not required,No,Internship or practical experience,2,3,False,True,35000.0
2014,Bachelor's degree,Business and economics,Entry level,Technology and telecommunications,Not required,No,No single factor,1,1,True,False,10000.0
2013,Bachelor's degree,Engineering and built environment,Managerial,Trade and services,Not required,No,No single factor,3,3,True,True,35000.0
2015,Bachelor's degree,"Arts, communication and humanities",Clerical and administrative,Finance and consulting,Formal requirement,No,Unknown,3,4,False,True,35000.0
2013,Bachelor's degree,Other,Entry level,Education,Unknown,Yes,Academic credential,1,5,True,True,35000.0
2015,Bachelor's degree,Social sciences,Clerical and administrative,Education,Not required,No,Internship or practical experience,3,1,False,False,75000.0
2016,Bachelor's degree,Business and economics,Entry level,Finance and consulting,Formal requirement,No,Academic credential,3,1,False,False,75000.0
2016,Bachelor's degree,Technology and computing,Entry level,Finance and consulting,Formal requirement,No,Subject studied,3,2,False,True,35000.0
2015,Bachelor's degree,Business and economics,Entry level,"Engineering, construction and energy",Formal requirement,No,No single factor,1,2,True,False,35000.0
2015,Bachelor's degree,Social sciences,Entry level,Finance and consulting,Not required,No,Academic credential,3,3,True,True,35000.0
2015,Bachelor's degree,Engineering and built environment,Entry level,Finance and consulting,Formal requirement,No,Subject studied,3,5,True,True,35000.0
2014,Bachelor's degree,Technology and computing,Experienced/professional,Technology and telecommunications,Formal requirement,No,Academic credential,4,4,True,False,75000.0
2017,Bachelor's degree,Social sciences,Entry level,Education,Not required,Yes,Internship or practical experience,3,4,False,True,10000.0
2015,Bachelor's degree,Social sciences,Entry level,Trade and services,Not required,Yes,Unknown,3,6,True,True,35000.0
2015,Bachelor's degree,Engineering and built environment,Entry level,Other,Gave an advantage,Yes,Internship or practical experience,3,5,True,True,35000.0
2014,Ordinary National Diploma (OND),Technology and computing,Entry level,"Media, marketing and creative",Gave an advantage,No,No single factor,1,0,False,False,35000.0
2016,Bachelor's degree,Engineering and built environment,Entry level,Technology and telecommunications,Gave an advantage,No,Unknown,3,4,True,True,125000.0
2016,Bachelor's degree,Business and economics,Entry level,Technology and telecommunications,Gave an advantage,Yes,Unknown,3,5,True,True,35000.0
2014,Bachelor's degree,Business and economics,Entry level,Technology and telecommunications,Formal requirement,No,No single factor,2,0,False,False,35000.0
2015,Bachelor's degree,Engineering and built environment,Entry level,Finance and consulting,Formal requirement,No,Skills and prior experience,1,4,True,True,125000.0
2015,Bachelor's degree,Health and life sciences,Entry level,Education,Formal requirement,Yes,Internship or practical experience,2,1,True,False,10000.0
2013,Bachelor's degree,Social sciences,Clerical and administrative,Technology and telecommunications,Gave an advantage,No,Academic credential,3,2,False,True,35000.0
2013,MBA degree,Business and economics,Entry level,Finance and consulting,Not required,Yes,No single factor,3,2,False,True,175000.0
